product_id,product_name,category,unit_price,cost_price,gross_profit_rate,shelf_life_days,is_fresh,is_key_product,clean_status
P0001,东北大米1号,生鲜粮油,71.01,58.13,0.1814,20,1,0,通用清洗规则已应用
P0002,花生油1号,生鲜粮油,87.95,68.02,0.2266,127,1,0,通用清洗规则已应用
P0003,鸡蛋1号,生鲜粮油,43.83,36.3,0.1718,142,1,0,通用清洗规则已应用
P0004,小麦面粉1号,生鲜粮油,43.25,36.68,0.1519,118,1,0,通用清洗规则已应用
P0005,玉米糁1号,生鲜粮油,75.52,59.78,0.2084,128,1,0,通用清洗规则已应用
P0006,杂粮包1号,生鲜粮油,81.02,62.47,0.229,67,1,1,通用清洗规则已应用
P0007,东北大米2号,生鲜粮油,9.68,8.31,0.1415,167,1,0,通用清洗规则已应用
P0008,花生油2号,生鲜粮油,33.37,27.63,0.172,136,1,0,通用清洗规则已应用
P0009,鸡蛋2号,生鲜粮油,16.91,13.75,0.1869,104,1,1,通用清洗规则已应用
P0010,小麦面粉2号,生鲜粮油,75.94,59.38,0.2181,122,1,1,通用清洗规则已应用
P0011,玉米糁2号,生鲜粮油,73.6,60.78,0.1742,47,1,1,通用清洗规则已应用
P0012,杂粮包2号,生鲜粮油,22.79,20.03,0.1211,125,1,0,通用清洗规则已应用
P0013,东北大米3号,生鲜粮油,65.23,50.27,0.2293,93,1,0,通用清洗规则已应用
P0014,花生油3号,生鲜粮油,15.62,12.28,0.2138,105,1,0,通用清洗规则已应用
P0015,鸡蛋3号,生鲜粮油,70.26,55.59,0.2088,20,1,0,通用清洗规则已应用
P0016,小麦面粉3号,生鲜粮油,8.59,7.03,0.1816,103,1,1,通用清洗规则已应用
P0017,玉米糁3号,生鲜粮油,77.69,65.82,0.1528,155,1,1,通用清洗规则已应用
P0018,杂粮包3号,生鲜粮油,61.6,49.4,0.1981,54,1,0,通用清洗规则已应用
P0019,东北大米4号,生鲜粮油,40.14,30.75,0.2339,63,1,1,通用清洗规则已应用
P0020,花生油4号,生鲜粮油,66.68,54.37,0.1846,8,1,1,通用清洗规则已应用
P0021,鸡蛋4号,生鲜粮油,18.79,14.7,0.2177,34,1,0,通用清洗规则已应用
P0022,小麦面粉4号,生鲜粮油,58.94,48.88,0.1707,72,1,1,通用清洗规则已应用
P0023,玉米糁4号,生鲜粮油,86.8,65.34,0.2472,85,1,0,通用清洗规则已应用
P0024,杂粮包4号,生鲜粮油,71.42,55.68,0.2204,51,1,0,通用清洗规则已应用
P0025,东北大米5号,生鲜粮油,14.1,10.63,0.2461,128,1,0,通用清洗规则已应用
P0026,花生油5号,生鲜粮油,54.65,46.74,0.1447,40,1,0,通用清洗规则已应用
P0027,鸡蛋5号,生鲜粮油,66.43,54.44,0.1805,29,1,0,通用清洗规则已应用
P0028,小麦面粉5号,生鲜粮油,13.09,10.76,0.178,107,1,1,通用清洗规则已应用
P0029,玉米糁5号,生鲜粮油,33.71,28.98,0.1403,35,1,1,通用清洗规则已应用
P0030,杂粮包5号,生鲜粮油,83.71,66.86,0.2013,108,1,1,通用清洗规则已应用
P0031,东北大米6号,生鲜粮油,7.92,5.91,0.2538,87,1,0,通用清洗规则已应用
P0032,花生油6号,生鲜粮油,46.88,38.03,0.1888,142,1,0,通用清洗规则已应用
P0033,鸡蛋6号,生鲜粮油,45.77,38.57,0.1573,100,1,1,通用清洗规则已应用
P0034,小麦面粉6号,生鲜粮油,7.82,5.98,0.2353,96,1,0,通用清洗规则已应用
P0035,饼干1号,零食饮料,34.58,27.6,0.2019,170,0,0,通用清洗规则已应用
P0036,果汁1号,零食饮料,44.44,29.61,0.3337,238,0,1,通用清洗规则已应用
P0037,矿泉水1号,零食饮料,16.12,13.1,0.1873,350,0,0,通用清洗规则已应用
P0038,坚果1号,零食饮料,49.07,37.12,0.2435,276,0,0,通用清洗规则已应用
P0039,茶饮料1号,零食饮料,32.36,24.88,0.2311,196,0,0,通用清洗规则已应用
P0040,山楂糕1号,零食饮料,27.8,17.28,0.3784,189,0,0,通用清洗规则已应用
P0041,饼干2号,零食饮料,53.78,34.49,0.3587,317,0,0,通用清洗规则已应用
P0042,果汁2号,零食饮料,40.71,30.34,0.2547,253,0,1,通用清洗规则已应用
P0043,矿泉水2号,零食饮料,17.96,11.36,0.3675,133,0,0,通用清洗规则已应用
P0044,坚果2号,零食饮料,11.74,9.21,0.2155,171,0,0,通用清洗规则已应用
P0045,茶饮料2号,零食饮料,20.69,13.75,0.3354,330,0,0,通用清洗规则已应用
P0046,山楂糕2号,零食饮料,3.79,2.93,0.2269,330,0,1,通用清洗规则已应用
P0047,饼干3号,零食饮料,9.94,7.14,0.2817,442,0,0,通用清洗规则已应用
P0048,果汁3号,零食饮料,48.84,33.06,0.3231,364,0,0,通用清洗规则已应用
P0049,矿泉水3号,零食饮料,10.05,6.38,0.3652,529,0,0,通用清洗规则已应用
P0050,坚果3号,零食饮料,40.78,25.65,0.371,246,0,0,通用清洗规则已应用
P0051,茶饮料3号,零食饮料,4.42,3.13,0.2919,473,0,0,通用清洗规则已应用
P0052,山楂糕3号,零食饮料,26.89,16.85,0.3734,164,0,0,通用清洗规则已应用
P0053,饼干4号,零食饮料,48.85,35.49,0.2735,476,0,0,通用清洗规则已应用
P0054,果汁4号,零食饮料,50.28,33.22,0.3393,127,0,0,通用清洗规则已应用
P0055,矿泉水4号,零食饮料,37.54,24.27,0.3535,242,0,0,通用清洗规则已应用
P0056,坚果4号,零食饮料,40.16,25.96,0.3536,293,0,0,通用清洗规则已应用
P0057,茶饮料4号,零食饮料,16.49,11.06,0.3293,523,0,0,通用清洗规则已应用
P0058,山楂糕4号,零食饮料,36.88,29.16,0.2093,164,0,0,通用清洗规则已应用
P0059,饼干5号,零食饮料,11.2,7.12,0.3643,185,0,1,通用清洗规则已应用
P0060,果汁5号,零食饮料,9.58,7.82,0.1837,239,0,1,通用清洗规则已应用
P0061,矿泉水5号,零食饮料,6.04,4.24,0.298,458,0,0,通用清洗规则已应用
P0062,坚果5号,零食饮料,31.76,20.49,0.3548,285,0,0,通用清洗规则已应用
P0063,茶饮料5号,零食饮料,13.35,10.31,0.2277,390,0,0,通用清洗规则已应用
P0064,山楂糕5号,零食饮料,5.81,4.33,0.2547,360,0,0,通用清洗规则已应用
P0065,饼干6号,零食饮料,50.51,40.89,0.1905,410,0,0,通用清洗规则已应用
P0066,果汁6号,零食饮料,54.45,33.98,0.3759,161,0,0,通用清洗规则已应用
P0067,抽纸1号,日用品,78.89,55.21,0.3002,968,0,0,通用清洗规则已应用
P0068,洗衣液1号,日用品,103.62,78.41,0.2433,756,0,0,通用清洗规则已应用
P0069,垃圾袋1号,日用品,35.64,29.04,0.1852,485,0,0,通用清洗规则已应用
P0070,牙膏1号,日用品,47.26,36.58,0.226,669,0,0,通用清洗规则已应用
P0071,毛巾1号,日用品,83.86,65.96,0.2135,855,0,0,通用清洗规则已应用
P0072,洗洁精1号,日用品,42.76,31.8,0.2563,1034,0,0,通用清洗规则已应用
P0073,抽纸2号,日用品,97.51,72.56,0.2559,417,0,0,通用清洗规则已应用
P0074,洗衣液2号,日用品,28.28,20.22,0.285,575,0,0,通用清洗规则已应用
P0075,垃圾袋2号,日用品,75.65,62.25,0.1771,789,0,0,通用清洗规则已应用
P0076,牙膏2号,日用品,20.8,13.88,0.3327,426,0,0,通用清洗规则已应用
P0077,毛巾2号,日用品,95.0,66.2,0.3032,430,0,0,通用清洗规则已应用
P0078,洗洁精2号,日用品,15.93,11.61,0.2712,550,0,0,通用清洗规则已应用
P0079,抽纸3号,日用品,70.83,53.56,0.2438,896,0,0,通用清洗规则已应用
P0080,洗衣液3号,日用品,61.6,45.1,0.2679,923,0,0,通用清洗规则已应用
P0081,垃圾袋3号,日用品,18.47,15.22,0.176,897,0,0,通用清洗规则已应用
P0082,牙膏3号,日用品,82.19,64.1,0.2201,671,0,0,通用清洗规则已应用
P0083,毛巾3号,日用品,36.11,27.97,0.2254,593,0,0,通用清洗规则已应用
P0084,洗洁精3号,日用品,112.65,85.75,0.2388,480,0,0,通用清洗规则已应用
P0085,抽纸4号,日用品,68.59,46.06,0.3285,812,0,0,通用清洗规则已应用
P0086,洗衣液4号,日用品,118.46,84.2,0.2892,715,0,0,通用清洗规则已应用
P0087,垃圾袋4号,日用品,102.81,74.57,0.2747,714,0,0,通用清洗规则已应用
P0088,牙膏4号,日用品,6.41,4.86,0.2418,795,0,0,通用清洗规则已应用
P0089,毛巾4号,日用品,57.73,43.9,0.2396,741,0,0,通用清洗规则已应用
P0090,洗洁精4号,日用品,17.72,11.7,0.3397,1036,0,0,通用清洗规则已应用
P0091,抽纸5号,日用品,101.24,83.1,0.1792,382,0,0,通用清洗规则已应用
P0092,洗衣液5号,日用品,15.4,10.45,0.3214,851,0,1,通用清洗规则已应用
P0093,垃圾袋5号,日用品,21.45,15.02,0.2998,375,0,0,通用清洗规则已应用
P0094,牙膏5号,日用品,9.16,7.69,0.1605,1030,0,1,通用清洗规则已应用
P0095,毛巾5号,日用品,97.17,77.45,0.2029,544,0,0,通用清洗规则已应用
P0096,洗洁精5号,日用品,111.7,78.3,0.299,406,0,0,通用清洗规则已应用
P0097,抽纸6号,日用品,9.62,7.73,0.1965,874,0,0,通用清洗规则已应用
P0098,洗衣液6号,日用品,77.45,53.19,0.3132,733,0,0,通用清洗规则已应用
P0099,垃圾袋6号,日用品,27.2,21.52,0.2088,746,0,0,通用清洗规则已应用
P0100,牙膏6号,日用品,11.27,8.22,0.2706,1081,0,1,通用清洗规则已应用
P0101,炒锅1号,厨具,260.68,198.62,0.2381,3063,0,0,通用清洗规则已应用
P0102,汤锅1号,厨具,174.83,109.71,0.3725,1564,0,0,通用清洗规则已应用
P0103,菜刀1号,厨具,67.63,40.03,0.4081,2164,0,0,通用清洗规则已应用
P0104,砧板1号,厨具,240.04,142.36,0.4069,2572,0,0,通用清洗规则已应用
P0105,饭盒1号,厨具,156.18,108.65,0.3043,3583,0,0,通用清洗规则已应用
P0106,保温壶1号,厨具,122.21,86.26,0.2942,1437,0,0,通用清洗规则已应用
P0107,炒锅2号,厨具,158.84,112.79,0.2899,3521,0,0,通用清洗规则已应用
P0108,汤锅2号,厨具,30.33,21.47,0.2921,2598,0,0,通用清洗规则已应用
P0109,菜刀2号,厨具,213.78,144.41,0.3245,2493,0,0,通用清洗规则已应用
P0110,砧板2号,厨具,126.15,79.07,0.3732,2751,0,0,通用清洗规则已应用
P0111,饭盒2号,厨具,232.1,167.26,0.2794,3161,0,0,通用清洗规则已应用
P0112,保温壶2号,厨具,333.0,229.5,0.3108,2978,0,0,通用清洗规则已应用
P0113,炒锅3号,厨具,125.54,77.3,0.3843,1201,0,0,通用清洗规则已应用
P0114,汤锅3号,厨具,305.96,241.03,0.2122,1391,0,0,通用清洗规则已应用
P0115,菜刀3号,厨具,77.16,56.4,0.2691,3402,0,0,通用清洗规则已应用
P0116,砧板3号,厨具,310.94,223.29,0.2819,1132,0,0,通用清洗规则已应用
P0117,饭盒3号,厨具,58.93,42.41,0.2803,1290,0,0,通用清洗规则已应用
P0118,保温壶3号,厨具,124.35,80.67,0.3513,3639,0,0,通用清洗规则已应用
P0119,炒锅4号,厨具,237.18,189.18,0.2024,3028,0,0,通用清洗规则已应用
P0120,汤锅4号,厨具,74.74,46.04,0.384,2437,0,0,通用清洗规则已应用
P0121,菜刀4号,厨具,304.96,177.53,0.4179,2380,0,0,通用清洗规则已应用
P0122,砧板4号,厨具,45.38,28.76,0.3662,2240,0,0,通用清洗规则已应用
P0123,饭盒4号,厨具,69.53,52.86,0.2398,3499,0,0,通用清洗规则已应用
P0124,保温壶4号,厨具,117.88,81.59,0.3079,1209,0,0,通用清洗规则已应用
P0125,炒锅5号,厨具,46.77,34.91,0.2536,3278,0,0,通用清洗规则已应用
P0126,汤锅5号,厨具,247.21,156.28,0.3678,2724,0,0,通用清洗规则已应用
P0127,菜刀5号,厨具,202.52,146.94,0.2744,1941,0,0,通用清洗规则已应用
P0128,砧板5号,厨具,309.39,213.15,0.3111,2328,0,0,通用清洗规则已应用
P0129,净水器滤芯1号,小家电配件,222.87,166.05,0.2549,3262,0,0,通用清洗规则已应用
P0130,电饭煲内胆1号,小家电配件,110.84,68.52,0.3818,2453,0,0,通用清洗规则已应用
P0131,插线板1号,小家电配件,96.04,74.7,0.2222,2648,0,1,通用清洗规则已应用
P0132,风扇电机1号,小家电配件,88.27,60.76,0.3117,3465,0,1,通用清洗规则已应用
P0133,榨汁机刀头1号,小家电配件,186.35,126.82,0.3195,3146,0,0,通用清洗规则已应用
P0134,电水壶底座1号,小家电配件,200.84,124.78,0.3787,2680,0,0,通用清洗规则已应用
P0135,净水器滤芯2号,小家电配件,205.94,129.6,0.3707,2391,0,0,通用清洗规则已应用
P0136,电饭煲内胆2号,小家电配件,149.17,100.85,0.3239,2967,0,0,通用清洗规则已应用
P0137,插线板2号,小家电配件,83.48,54.98,0.3414,2723,0,0,通用清洗规则已应用
P0138,风扇电机2号,小家电配件,22.15,14.38,0.3508,1980,0,0,通用清洗规则已应用
P0139,榨汁机刀头2号,小家电配件,127.31,77.0,0.3952,1284,0,0,通用清洗规则已应用
P0140,电水壶底座2号,小家电配件,149.75,96.37,0.3565,3123,0,0,通用清洗规则已应用
P0141,净水器滤芯3号,小家电配件,21.17,15.62,0.2622,2038,0,1,通用清洗规则已应用
P0142,电饭煲内胆3号,小家电配件,188.89,122.74,0.3502,1374,0,0,通用清洗规则已应用
P0143,插线板3号,小家电配件,210.62,170.44,0.1908,1355,0,0,通用清洗规则已应用
P0144,风扇电机3号,小家电配件,13.12,9.27,0.2934,2684,0,0,通用清洗规则已应用
P0145,榨汁机刀头3号,小家电配件,111.54,69.48,0.3771,1745,0,0,通用清洗规则已应用
P0146,电水壶底座3号,小家电配件,98.31,62.16,0.3677,1702,0,0,通用清洗规则已应用
P0147,净水器滤芯4号,小家电配件,110.44,83.88,0.2405,3309,0,0,通用清洗规则已应用
P0148,电饭煲内胆4号,小家电配件,96.8,64.09,0.3379,1574,0,0,通用清洗规则已应用
P0149,插线板4号,小家电配件,85.5,62.44,0.2697,1400,0,0,通用清洗规则已应用
P0150,风扇电机4号,小家电配件,109.31,67.62,0.3814,2564,0,0,通用清洗规则已应用
P0151,榨汁机刀头4号,小家电配件,102.61,82.62,0.1948,2513,0,0,通用清洗规则已应用
P0152,电水壶底座4号,小家电配件,169.37,126.09,0.2555,1140,0,0,通用清洗规则已应用
P0153,鲜玉米1号,农产品,52.13,42.97,0.1757,17,1,1,通用清洗规则已应用
P0154,红薯1号,农产品,24.82,19.18,0.2272,41,1,0,通用清洗规则已应用
P0155,土豆1号,农产品,41.81,33.8,0.1916,39,1,1,通用清洗规则已应用
P0156,西红柿1号,农产品,13.95,10.85,0.2222,13,1,1,通用清洗规则已应用
P0157,苹果1号,农产品,54.69,43.22,0.2097,40,1,0,通用清洗规则已应用
P0158,蘑菇1号,农产品,47.17,37.07,0.2141,23,1,0,通用清洗规则已应用
P0159,鲜玉米2号,农产品,15.85,13.02,0.1785,21,1,1,通用清洗规则已应用
P0160,红薯2号,农产品,36.81,30.9,0.1606,31,1,1,通用清洗规则已应用
P0161,土豆2号,农产品,10.59,9.47,0.1058,27,1,1,通用清洗规则已应用
P0162,西红柿2号,农产品,37.03,31.71,0.1437,5,1,1,通用清洗规则已应用
P0163,苹果2号,农产品,28.61,25.51,0.1084,22,1,0,通用清洗规则已应用
P0164,蘑菇2号,农产品,29.22,24.59,0.1585,11,1,1,通用清洗规则已应用
P0165,鲜玉米3号,农产品,59.22,53.29,0.1001,14,1,0,通用清洗规则已应用
P0166,红薯3号,农产品,31.6,24.99,0.2092,24,1,0,通用清洗规则已应用
P0167,土豆3号,农产品,24.64,21.34,0.1339,40,1,0,通用清洗规则已应用
P0168,西红柿3号,农产品,25.17,19.37,0.2304,32,1,1,通用清洗规则已应用
P0169,苹果3号,农产品,49.54,43.54,0.1211,16,1,1,通用清洗规则已应用
P0170,蘑菇3号,农产品,4.59,4.01,0.1264,8,1,1,通用清洗规则已应用
P0171,鲜玉米4号,农产品,43.69,37.84,0.1339,12,1,0,通用清洗规则已应用
P0172,红薯4号,农产品,4.3,3.36,0.2186,28,1,0,通用清洗规则已应用
P0173,土豆4号,农产品,53.47,41.72,0.2197,13,1,1,通用清洗规则已应用
P0174,西红柿4号,农产品,42.62,32.48,0.2379,42,1,0,通用清洗规则已应用
P0175,苹果4号,农产品,24.38,19.21,0.2121,15,1,0,通用清洗规则已应用
P0176,蘑菇4号,农产品,24.33,21.63,0.111,12,1,1,通用清洗规则已应用
P0177,冷冻水饺1号,冷链食品,14.4,12.0,0.1667,78,1,0,通用清洗规则已应用
P0178,冷鲜鸡腿1号,冷链食品,51.96,37.29,0.2823,66,1,0,通用清洗规则已应用
P0179,酸奶1号,冷链食品,30.11,22.56,0.2507,73,1,1,通用清洗规则已应用
P0180,速冻馄饨1号,冷链食品,12.5,10.72,0.1424,49,1,0,通用清洗规则已应用
P0181,冰鲜牛肉1号,冷链食品,27.99,20.05,0.2837,41,1,0,通用清洗规则已应用
P0182,冷冻汤圆1号,冷链食品,46.42,39.55,0.148,52,1,0,通用清洗规则已应用
P0183,冷冻水饺2号,冷链食品,95.62,69.44,0.2738,11,1,1,通用清洗规则已应用
P0184,冷鲜鸡腿2号,冷链食品,122.11,100.06,0.1806,57,1,0,通用清洗规则已应用
P0185,酸奶2号,冷链食品,61.92,46.54,0.2484,71,1,0,通用清洗规则已应用
P0186,速冻馄饨2号,冷链食品,135.91,107.77,0.207,54,1,0,通用清洗规则已应用
P0187,冰鲜牛肉2号,冷链食品,112.3,87.23,0.2232,85,1,0,通用清洗规则已应用
P0188,冷冻汤圆2号,冷链食品,61.77,46.38,0.2492,14,1,1,通用清洗规则已应用
P0189,冷冻水饺3号,冷链食品,34.48,28.55,0.172,89,1,0,通用清洗规则已应用
P0190,冷鲜鸡腿3号,冷链食品,71.19,52.87,0.2573,83,1,0,通用清洗规则已应用
P0191,酸奶3号,冷链食品,77.14,57.19,0.2586,51,1,0,通用清洗规则已应用
P0192,速冻馄饨3号,冷链食品,25.18,18.01,0.2847,72,1,0,通用清洗规则已应用
P0193,冰鲜牛肉3号,冷链食品,24.58,20.33,0.1729,45,1,0,通用清洗规则已应用
P0194,冷冻汤圆3号,冷链食品,59.52,44.34,0.255,8,1,0,通用清洗规则已应用
P0195,冷冻水饺4号,冷链食品,52.21,39.82,0.2373,39,1,0,通用清洗规则已应用
P0196,冷鲜鸡腿4号,冷链食品,129.86,101.96,0.2148,41,1,1,通用清洗规则已应用
P0197,酸奶4号,冷链食品,61.66,51.73,0.161,32,1,1,通用清洗规则已应用
P0198,速冻馄饨4号,冷链食品,132.32,108.64,0.179,64,1,1,通用清洗规则已应用
P0199,冰鲜牛肉4号,冷链食品,123.01,100.31,0.1845,88,1,1,通用清洗规则已应用
P0200,冷冻汤圆4号,冷链食品,71.02,58.13,0.1815,22,1,1,通用清洗规则已应用
