delivery_id,order_id,product_id,product_name,abc_class,category,outlet_id,actual_hours_calc,is_timeout,exception_type,exception_reason,priority_level,suggest_action
D007909,ORD007556,P0024,杂粮包4号,A,生鲜粮油,O041,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D005983,ORD000886,P0017,玉米糁3号,A,生鲜粮油,O032,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D005443,ORD005484,P0010,小麦面粉2号,A,生鲜粮油,O034,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D003927,ORD003319,P0183,冷冻水饺2号,A,冷链食品,O037,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D004614,ORD000772,P0188,冷冻汤圆2号,A,冷链食品,O025,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D002290,ORD007944,P0020,花生油4号,A,生鲜粮油,O036,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D006308,ORD003921,P0200,冷冻汤圆4号,A,冷链食品,O038,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D007440,ORD004870,P0020,花生油4号,A,生鲜粮油,O059,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D006696,ORD007933,P0198,速冻馄饨4号,A,冷链食品,O037,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D006516,ORD000967,P0153,鲜玉米1号,A,农产品,O047,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D001758,ORD000255,P0183,冷冻水饺2号,A,冷链食品,O024,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D003581,ORD005944,P0186,速冻馄饨2号,A,冷链食品,O023,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D001110,ORD007613,P0006,杂粮包1号,A,生鲜粮油,O041,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D006014,ORD001691,P0042,果汁2号,A,零食饮料,O046,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D003070,ORD000991,P0155,土豆1号,A,农产品,O026,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D005667,ORD002353,P0183,冷冻水饺2号,A,冷链食品,O035,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D003561,ORD001416,P0198,速冻馄饨4号,A,冷链食品,O030,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D000676,ORD002752,P0186,速冻馄饨2号,A,冷链食品,O034,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D003427,ORD005046,P0183,冷冻水饺2号,A,冷链食品,O023,67.7,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D004918,ORD006741,P0011,玉米糁2号,A,生鲜粮油,O051,67.3,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D003861,ORD007532,P0197,酸奶4号,A,冷链食品,O036,67.3,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D007736,ORD006586,P0186,速冻馄饨2号,A,冷链食品,O039,67.2,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D000004,ORD003028,P0155,土豆1号,A,农产品,O037,67.1,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D002909,ORD000288,P0155,土豆1号,A,农产品,O035,66.8,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D006914,ORD002394,P0153,鲜玉米1号,A,农产品,O037,66.6,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D005979,ORD006442,P0019,东北大米4号,A,生鲜粮油,O036,66.4,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D006574,ORD002862,P0006,杂粮包1号,A,生鲜粮油,O024,66.4,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D007395,ORD001471,P0173,土豆4号,A,农产品,O040,66.2,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D007983,ORD002920,P0196,冷鲜鸡腿4号,A,冷链食品,O044,66.1,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D005761,ORD000903,P0198,速冻馄饨4号,A,冷链食品,O026,66.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D000459,ORD001079,P0191,酸奶3号,A,冷链食品,O053,66.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D007251,ORD006589,P0005,玉米糁1号,A,生鲜粮油,O037,65.7,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D003411,ORD000946,P0017,玉米糁3号,A,生鲜粮油,O048,65.7,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D007063,ORD007349,P0002,花生油1号,A,生鲜粮油,O039,65.3,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D005324,ORD007299,P0017,玉米糁3号,A,生鲜粮油,O036,65.2,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D006460,ORD003080,P0157,苹果1号,A,农产品,O056,65.2,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D007396,ORD004800,P0191,酸奶3号,A,冷链食品,O060,65.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D003962,ORD001878,P0030,杂粮包5号,A,生鲜粮油,O021,64.9,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D001333,ORD004952,P0196,冷鲜鸡腿4号,A,冷链食品,O041,64.9,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D003288,ORD002145,P0157,苹果1号,A,农产品,O052,64.8,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D003786,ORD000384,P0017,玉米糁3号,A,生鲜粮油,O028,64.7,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D000892,ORD004060,P0005,玉米糁1号,A,生鲜粮油,O041,64.4,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D005495,ORD005276,P0023,玉米糁4号,A,生鲜粮油,O042,64.1,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D007978,ORD000770,P0187,冰鲜牛肉2号,A,冷链食品,O028,64.1,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D005977,ORD007396,P0020,花生油4号,A,生鲜粮油,O028,64.1,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D003227,ORD002806,P0196,冷鲜鸡腿4号,A,冷链食品,O022,63.9,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D003127,ORD000082,P0163,苹果2号,B,农产品,O050,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D006394,ORD002762,P0175,苹果4号,B,农产品,O056,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D003403,ORD005591,P0165,鲜玉米3号,B,农产品,O055,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D006495,ORD002080,P0016,小麦面粉3号,C,生鲜粮油,O056,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D000995,ORD007590,P0021,鸡蛋4号,C,生鲜粮油,O039,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D002262,ORD005020,P0159,鲜玉米2号,B,农产品,O045,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D005784,ORD000750,P0154,红薯1号,C,农产品,O035,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D002970,ORD002907,P0170,蘑菇3号,C,农产品,O037,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D002426,ORD001809,P0176,蘑菇4号,B,农产品,O029,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D002720,ORD000979,P0178,冷鲜鸡腿1号,B,冷链食品,O023,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D006224,ORD000615,P0158,蘑菇1号,B,农产品,O035,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D007012,ORD001575,P0180,速冻馄饨1号,C,冷链食品,O050,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D002680,ORD000308,P0007,东北大米2号,C,生鲜粮油,O026,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D000746,ORD003146,P0012,杂粮包2号,B,生鲜粮油,O046,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D006281,ORD003116,P0008,花生油2号,B,生鲜粮油,O035,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D002704,ORD004253,P0016,小麦面粉3号,C,生鲜粮油,O024,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D007954,ORD000976,P0190,冷鲜鸡腿3号,B,冷链食品,O041,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D000122,ORD006424,P0164,蘑菇2号,B,农产品,O032,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D006173,ORD006379,P0022,小麦面粉4号,B,生鲜粮油,O060,68.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D003653,ORD003387,P0180,速冻馄饨1号,C,冷链食品,O036,67.9,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D007235,ORD002939,P0189,冷冻水饺3号,B,冷链食品,O034,67.9,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D007531,ORD005089,P0161,土豆2号,C,农产品,O023,67.9,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D005545,ORD003339,P0177,冷冻水饺1号,C,冷链食品,O025,67.8,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D000920,ORD001941,P0159,鲜玉米2号,B,农产品,O037,67.8,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D001388,ORD001672,P0029,玉米糁5号,B,生鲜粮油,O043,67.1,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D005066,ORD003679,P0009,鸡蛋2号,B,生鲜粮油,O033,67.0,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D006568,ORD001206,P0159,鲜玉米2号,B,农产品,O026,66.9,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D000898,ORD000177,P0160,红薯2号,B,农产品,O053,66.7,1,生鲜/冷链超时订单,生鲜冷链商品配送超过24小时,高,优先签收或退换处理，降低质量损耗
D001487,ORD003359,P0143,插线板3号,C,小家电配件,O029,68.0,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D000677,ORD001430,P0069,垃圾袋1号,C,日用品,O037,68.0,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D006840,ORD002159,P0053,饼干4号,B,零食饮料,O053,68.0,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D004875,ORD001939,P0059,饼干5号,C,零食饮料,O060,68.0,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D003672,ORD007671,P0084,洗洁精3号,B,日用品,O043,68.0,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D004475,ORD002981,P0081,垃圾袋3号,C,日用品,O048,68.0,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D000499,ORD000170,P0051,茶饮料3号,C,零食饮料,O039,68.0,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D004699,ORD006226,P0055,矿泉水4号,B,零食饮料,O049,68.0,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D003719,ORD001753,P0093,垃圾袋5号,C,日用品,O045,68.0,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D007033,ORD006915,P0053,饼干4号,B,零食饮料,O032,68.0,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D002137,ORD004709,P0053,饼干4号,B,零食饮料,O035,68.0,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D004559,ORD005345,P0066,果汁6号,B,零食饮料,O035,68.0,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D003543,ORD005748,P0056,坚果4号,B,零食饮料,O054,67.7,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D001455,ORD002226,P0069,垃圾袋1号,C,日用品,O023,67.1,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D006065,ORD005234,P0072,洗洁精1号,C,日用品,O051,66.7,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D001927,ORD000806,P0175,苹果4号,B,农产品,O027,66.6,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D005445,ORD001585,P0008,花生油2号,B,生鲜粮油,O025,66.4,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D000698,ORD007384,P0013,东北大米3号,B,生鲜粮油,O051,66.3,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D007448,ORD007137,P0022,小麦面粉4号,B,生鲜粮油,O047,66.2,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D007113,ORD003331,P0156,西红柿1号,B,农产品,O052,66.2,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D002859,ORD000296,P0034,小麦面粉6号,C,生鲜粮油,O021,66.1,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D001887,ORD007329,P0189,冷冻水饺3号,B,冷链食品,O056,66.0,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D002962,ORD005745,P0160,红薯2号,B,农产品,O038,65.9,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D000114,ORD000350,P0180,速冻馄饨1号,C,冷链食品,O049,65.7,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D004490,ORD003436,P0162,西红柿2号,B,农产品,O023,65.7,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D006803,ORD006969,P0029,玉米糁5号,B,生鲜粮油,O058,65.7,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D003130,ORD003269,P0044,坚果2号,C,零食饮料,O039,65.6,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
D001057,ORD007175,P0179,酸奶1号,B,冷链食品,O030,65.6,1,乡镇偏远网点超时订单,乡镇配送超过48小时且网点位置偏远,中,纳入片区线路优化和网点风险评分
