product_id,product_name,category,abc_class,stock_qty,forecast_30d,daily_forecast,stock_available_days,inventory_risk,risk_reason,priority_level
P0155,土豆1号,农产品,A,29,216.0,7.2,4.0,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0183,冷冻水饺2号,冷链食品,A,185,195.3,6.51,28.4,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0017,玉米糁3号,生鲜粮油,A,169,186.3,6.21,27.2,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0011,玉米糁2号,生鲜粮油,A,40,182.7,6.09,6.6,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0019,东北大米4号,生鲜粮油,A,443,178.2,5.94,74.6,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0006,杂粮包1号,生鲜粮油,A,296,177.3,5.91,50.1,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0030,杂粮包5号,生鲜粮油,A,316,168.9,5.63,56.1,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0169,苹果3号,农产品,A,463,166.8,5.56,83.3,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0198,速冻馄饨4号,冷链食品,A,400,165.3,5.51,72.6,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0196,冷鲜鸡腿4号,冷链食品,A,199,164.4,5.48,36.3,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0042,果汁2号,零食饮料,A,434,160.8,5.36,81.0,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0020,花生油4号,生鲜粮油,A,180,159.9,5.33,33.8,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0010,小麦面粉2号,生鲜粮油,A,34,143.7,4.79,7.1,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0023,玉米糁4号,生鲜粮油,A,227,126.3,4.21,53.9,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0003,鸡蛋1号,生鲜粮油,A,53,118.5,3.95,13.4,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0005,玉米糁1号,生鲜粮油,A,372,117.0,3.9,95.4,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0199,冰鲜牛肉4号,冷链食品,A,318,116.1,3.87,82.2,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0033,鸡蛋6号,生鲜粮油,A,28,114.9,3.83,7.3,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0153,鲜玉米1号,农产品,A,428,114.9,3.83,111.7,库存正常,销量与库存基本匹配,中
P0173,土豆4号,农产品,A,264,111.3,3.71,71.2,库存正常,销量与库存基本匹配,中
P0197,酸奶4号,冷链食品,A,372,108.0,3.6,103.3,库存正常,销量与库存基本匹配,中
P0027,鸡蛋5号,生鲜粮油,A,205,99.9,3.33,61.6,库存正常,销量与库存基本匹配,中
P0015,鸡蛋3号,生鲜粮油,A,301,99.9,3.33,90.4,库存正常,销量与库存基本匹配,中
P0026,花生油5号,生鲜粮油,A,328,96.6,3.22,101.9,库存正常,销量与库存基本匹配,中
P0157,苹果1号,农产品,A,331,96.6,3.22,102.8,库存正常,销量与库存基本匹配,中
P0200,冷冻汤圆4号,冷链食品,A,505,93.0,3.1,162.9,库存正常,销量与库存基本匹配,中
P0188,冷冻汤圆2号,冷链食品,A,415,90.9,3.03,137.0,库存正常,销量与库存基本匹配,中
P0191,酸奶3号,冷链食品,A,390,81.3,2.71,143.9,库存正常,销量与库存基本匹配,中
P0002,花生油1号,生鲜粮油,A,405,79.5,2.65,152.8,库存正常,销量与库存基本匹配,中
P0024,杂粮包4号,生鲜粮油,A,119,78.3,2.61,45.6,库存正常,销量与库存基本匹配,中
P0187,冰鲜牛肉2号,冷链食品,A,80,77.1,2.57,31.1,库存正常,销量与库存基本匹配,中
P0186,速冻馄饨2号,冷链食品,A,224,63.0,2.1,106.7,库存正常,销量与库存基本匹配,中
P0028,小麦面粉5号,生鲜粮油,B,239,200.7,6.69,35.7,库存正常,销量与库存基本匹配,中
P0009,鸡蛋2号,生鲜粮油,B,359,163.5,5.45,65.9,库存正常,销量与库存基本匹配,中
P0156,西红柿1号,农产品,B,293,147.0,4.9,59.8,库存正常,销量与库存基本匹配,中
P0164,蘑菇2号,农产品,B,190,132.3,4.41,43.1,库存正常,销量与库存基本匹配,中
P0029,玉米糁5号,生鲜粮油,B,269,110.1,3.67,73.3,库存正常,销量与库存基本匹配,中
P0193,冰鲜牛肉3号,冷链食品,B,432,106.2,3.54,122.0,库存正常,销量与库存基本匹配,中
P0159,鲜玉米2号,农产品,B,285,103.2,3.44,82.8,库存正常,销量与库存基本匹配,中
P0179,酸奶1号,冷链食品,B,458,102.3,3.41,134.3,库存正常,销量与库存基本匹配,中
P0168,西红柿3号,农产品,B,42,95.4,3.18,13.2,库存正常,销量与库存基本匹配,中
P0012,杂粮包2号,生鲜粮油,B,261,86.7,2.89,90.3,库存正常,销量与库存基本匹配,中
P0167,土豆3号,农产品,B,284,86.4,2.88,98.6,库存正常,销量与库存基本匹配,中
P0008,花生油2号,生鲜粮油,B,298,82.8,2.76,108.0,库存正常,销量与库存基本匹配,中
P0162,西红柿2号,农产品,B,39,75.0,2.5,15.6,库存正常,销量与库存基本匹配,中
P0175,苹果4号,农产品,B,315,74.1,2.47,127.5,库存正常,销量与库存基本匹配,中
P0022,小麦面粉4号,生鲜粮油,B,187,72.0,2.4,77.9,库存正常,销量与库存基本匹配,中
P0176,蘑菇4号,农产品,B,287,72.0,2.4,119.6,库存正常,销量与库存基本匹配,中
P0036,果汁1号,零食饮料,B,163,67.2,2.24,72.8,库存正常,销量与库存基本匹配,中
P0182,冷冻汤圆1号,冷链食品,B,298,67.2,2.24,133.0,库存正常,销量与库存基本匹配,中
P0160,红薯2号,农产品,B,137,65.1,2.17,63.1,库存正常,销量与库存基本匹配,中
P0056,坚果4号,零食饮料,B,326,65.1,2.17,150.2,库存正常,销量与库存基本匹配,中
P0018,杂粮包3号,生鲜粮油,B,149,61.5,2.05,72.7,库存正常,销量与库存基本匹配,中
P0195,冷冻水饺4号,冷链食品,B,169,61.5,2.05,82.4,库存正常,销量与库存基本匹配,中
P0166,红薯3号,农产品,B,399,61.2,2.04,195.6,库存正常,销量与库存基本匹配,中
P0163,苹果2号,农产品,B,105,61.2,2.04,51.5,库存正常,销量与库存基本匹配,中
P0032,花生油6号,生鲜粮油,B,277,60.3,2.01,137.8,库存正常,销量与库存基本匹配,中
P0013,东北大米3号,生鲜粮油,B,395,58.5,1.95,202.6,库存正常,销量与库存基本匹配,中
P0004,小麦面粉1号,生鲜粮油,B,413,56.7,1.89,218.5,库存正常,销量与库存基本匹配,中
P0190,冷鲜鸡腿3号,冷链食品,B,216,56.4,1.88,114.9,库存正常,销量与库存基本匹配,中
P0185,酸奶2号,冷链食品,B,407,55.5,1.85,220.0,库存正常,销量与库存基本匹配,中
P0194,冷冻汤圆3号,冷链食品,B,326,54.6,1.82,179.1,库存正常,销量与库存基本匹配,中
P0065,饼干6号,零食饮料,B,352,53.7,1.79,196.6,库存正常,销量与库存基本匹配,中
P0053,饼干4号,零食饮料,B,410,51.6,1.72,238.4,库存正常,销量与库存基本匹配,中
P0158,蘑菇1号,农产品,B,85,49.5,1.65,51.5,库存正常,销量与库存基本匹配,中
P0178,冷鲜鸡腿1号,冷链食品,B,363,46.8,1.56,232.7,库存正常,销量与库存基本匹配,中
P0062,坚果5号,零食饮料,B,397,44.7,1.49,266.4,库存正常,销量与库存基本匹配,中
P0048,果汁3号,零食饮料,B,147,44.7,1.49,98.7,库存正常,销量与库存基本匹配,中
P0035,饼干1号,零食饮料,B,217,43.8,1.46,148.6,库存正常,销量与库存基本匹配,中
P0189,冷冻水饺3号,冷链食品,B,132,42.9,1.43,92.3,库存正常,销量与库存基本匹配,中
P0038,坚果1号,零食饮料,B,125,42.0,1.4,89.3,库存正常,销量与库存基本匹配,中
P0055,矿泉水4号,零食饮料,B,202,42.0,1.4,144.3,库存正常,销量与库存基本匹配,中
P0174,西红柿4号,农产品,B,132,41.1,1.37,96.4,库存正常,销量与库存基本匹配,中
P0066,果汁6号,零食饮料,B,292,40.2,1.34,217.9,库存正常,销量与库存基本匹配,中
P0165,鲜玉米3号,农产品,B,379,39.9,1.33,285.0,库存正常,销量与库存基本匹配,中
P0041,饼干2号,零食饮料,B,182,38.7,1.29,141.1,库存正常,销量与库存基本匹配,中
P0050,坚果3号,零食饮料,B,290,37.2,1.24,233.9,库存正常,销量与库存基本匹配,中
P0001,东北大米1号,生鲜粮油,B,249,33.3,1.11,224.3,库存正常,销量与库存基本匹配,中
P0096,洗洁精5号,日用品,B,150,33.0,1.1,136.4,库存正常,销量与库存基本匹配,中
P0054,果汁4号,零食饮料,B,235,28.2,0.94,250.0,库存正常,销量与库存基本匹配,中
P0084,洗洁精3号,日用品,B,293,27.3,0.91,322.0,库存正常,销量与库存基本匹配,中
P0086,洗衣液4号,日用品,B,198,26.4,0.88,225.0,库存正常,销量与库存基本匹配,中
P0184,冷鲜鸡腿2号,冷链食品,B,193,25.5,0.85,227.1,库存正常,销量与库存基本匹配,中
P0079,抽纸3号,日用品,B,100,25.2,0.84,119.0,库存正常,销量与库存基本匹配,中
P0073,抽纸2号,日用品,B,116,24.3,0.81,143.2,库存正常,销量与库存基本匹配,中
P0068,洗衣液1号,日用品,B,368,23.4,0.78,471.8,库存正常,销量与库存基本匹配,中
P0082,牙膏3号,日用品,B,227,19.5,0.65,349.2,库存正常,销量与库存基本匹配,中
P0091,抽纸5号,日用品,B,424,17.7,0.59,718.6,库存正常,销量与库存基本匹配,中
P0095,毛巾5号,日用品,B,345,15.6,0.52,663.5,库存正常,销量与库存基本匹配,中
P0087,垃圾袋4号,日用品,B,165,15.6,0.52,317.3,库存正常,销量与库存基本匹配,中
P0016,小麦面粉3号,生鲜粮油,C,75,95.4,3.18,23.6,库存正常,销量与库存基本匹配,中
P0046,山楂糕2号,零食饮料,C,26,90.3,3.01,8.6,库存正常,销量与库存基本匹配,中
P0161,土豆2号,农产品,C,36,87.0,2.9,12.4,库存正常,销量与库存基本匹配,中
P0060,果汁5号,零食饮料,C,399,65.4,2.18,183.0,库存正常,销量与库存基本匹配,中
P0177,冷冻水饺1号,冷链食品,C,41,65.1,2.17,18.9,库存正常,销量与库存基本匹配,中
P0170,蘑菇3号,农产品,C,72,60.3,2.01,35.8,库存正常,销量与库存基本匹配,中
P0180,速冻馄饨1号,冷链食品,C,263,59.4,1.98,132.8,库存正常,销量与库存基本匹配,中
P0031,东北大米6号,生鲜粮油,C,400,54.6,1.82,219.8,库存正常,销量与库存基本匹配,中
P0172,红薯4号,农产品,C,117,54.0,1.8,65.0,库存正常,销量与库存基本匹配,中
P0043,矿泉水2号,零食饮料,C,100,53.1,1.77,56.5,库存正常,销量与库存基本匹配,中
P0025,东北大米5号,生鲜粮油,C,243,49.8,1.66,146.4,库存正常,销量与库存基本匹配,中
P0021,鸡蛋4号,生鲜粮油,C,343,43.5,1.45,236.6,库存正常,销量与库存基本匹配,中
P0007,东北大米2号,生鲜粮油,C,213,39.9,1.33,160.2,库存正常,销量与库存基本匹配,中
P0014,花生油3号,生鲜粮油,C,417,39.9,1.33,313.5,库存正常,销量与库存基本匹配,中
P0059,饼干5号,零食饮料,C,149,36.6,1.22,122.1,库存积压,库存可销售天数偏长,中
P0040,山楂糕1号,零食饮料,C,304,36.3,1.21,251.2,库存积压,库存可销售天数偏长,中
P0061,矿泉水5号,零食饮料,C,160,35.1,1.17,136.8,库存积压,库存可销售天数偏长,中
P0192,速冻馄饨3号,冷链食品,C,164,34.5,1.15,142.6,库存积压,库存可销售天数偏长,中
P0034,小麦面粉6号,生鲜粮油,C,143,33.6,1.12,127.7,库存积压,库存可销售天数偏长,中
P0051,茶饮料3号,零食饮料,C,123,32.4,1.08,113.9,库存积压,库存可销售天数偏长,中
P0044,坚果2号,零食饮料,C,325,31.5,1.05,309.5,库存积压,库存可销售天数偏长,中
P0049,矿泉水3号,零食饮料,C,320,28.2,0.94,340.4,库存积压,库存可销售天数偏长,中
P0181,冰鲜牛肉1号,冷链食品,C,395,27.9,0.93,424.7,库存积压,库存可销售天数偏长,中
P0045,茶饮料2号,零食饮料,C,272,27.3,0.91,298.9,库存积压,库存可销售天数偏长,中
P0058,山楂糕4号,零食饮料,C,109,27.3,0.91,119.8,库存积压,库存可销售天数偏长,中
P0039,茶饮料1号,零食饮料,C,261,26.1,0.87,300.0,库存积压,库存可销售天数偏长,中
P0063,茶饮料5号,零食饮料,C,273,25.2,0.84,325.0,库存积压,库存可销售天数偏长,中
P0052,山楂糕3号,零食饮料,C,211,24.3,0.81,260.5,库存积压,库存可销售天数偏长,中
P0092,洗衣液5号,日用品,C,212,23.7,0.79,268.4,库存积压,库存可销售天数偏长,中
P0171,鲜玉米4号,农产品,C,153,23.1,0.77,198.7,库存积压,库存可销售天数偏长,中
P0064,山楂糕5号,零食饮料,C,304,23.1,0.77,394.8,库存积压,库存可销售天数偏长,中
P0078,洗洁精2号,日用品,C,248,22.5,0.75,330.7,库存积压,库存可销售天数偏长,中
P0069,垃圾袋1号,日用品,C,263,22.5,0.75,350.7,库存积压,库存可销售天数偏长,中
P0047,饼干3号,零食饮料,C,144,21.0,0.7,205.7,库存积压,库存可销售天数偏长,中
P0076,牙膏2号,日用品,C,329,18.9,0.63,522.2,库存积压,库存可销售天数偏长,中
P0037,矿泉水1号,零食饮料,C,376,18.3,0.61,616.4,库存积压,库存可销售天数偏长,中
P0083,毛巾3号,日用品,C,406,18.3,0.61,665.6,库存积压,库存可销售天数偏长,中
P0100,牙膏6号,日用品,C,84,18.0,0.6,140.0,库存积压,库存可销售天数偏长,中
P0057,茶饮料4号,零食饮料,C,231,17.7,0.59,391.5,库存积压,库存可销售天数偏长,中
P0154,红薯1号,农产品,C,219,16.8,0.56,391.1,库存积压,库存可销售天数偏长,中
P0097,抽纸6号,日用品,C,161,16.2,0.54,298.1,库存积压,库存可销售天数偏长,中
P0072,洗洁精1号,日用品,C,323,14.7,0.49,659.2,库存积压,库存可销售天数偏长,中
P0094,牙膏5号,日用品,C,130,14.7,0.49,265.3,库存积压,库存可销售天数偏长,中
P0093,垃圾袋5号,日用品,C,123,12.6,0.42,292.9,库存积压,库存可销售天数偏长,中
P0067,抽纸1号,日用品,C,345,12.6,0.42,821.4,库存积压,库存可销售天数偏长,中
P0071,毛巾1号,日用品,C,157,11.7,0.39,402.6,库存积压,库存可销售天数偏长,中
P0088,牙膏4号,日用品,C,353,11.7,0.39,905.1,库存积压,库存可销售天数偏长,中
P0090,洗洁精4号,日用品,C,185,11.7,0.39,474.4,库存积压,库存可销售天数偏长,中
P0074,洗衣液2号,日用品,C,227,11.7,0.39,582.1,库存积压,库存可销售天数偏长,中
P0098,洗衣液6号,日用品,C,108,11.1,0.37,291.9,库存积压,库存可销售天数偏长,中
P0089,毛巾4号,日用品,C,147,10.5,0.35,420.0,库存积压,库存可销售天数偏长,中
P0080,洗衣液3号,日用品,C,334,10.5,0.35,954.3,库存积压,库存可销售天数偏长,中
P0075,垃圾袋2号,日用品,C,137,9.0,0.3,456.7,库存积压,库存可销售天数偏长,中
P0070,牙膏1号,日用品,C,74,8.4,0.28,264.3,库存积压,库存可销售天数偏长,中
P0085,抽纸4号,日用品,C,187,8.4,0.28,667.9,库存积压,库存可销售天数偏长,中
P0077,毛巾2号,日用品,C,859,7.8,0.26,3303.8,库存积压,库存可销售天数偏长,中
P0081,垃圾袋3号,日用品,C,167,6.9,0.23,726.1,库存积压,库存可销售天数偏长,中
P0099,垃圾袋6号,日用品,C,966,6.9,0.23,4200.0,库存积压,库存可销售天数偏长,中
P0148,电饭煲内胆4号,小家电配件,C,226,4.8,0.16,1412.5,库存积压,库存可销售天数偏长,中
P0144,风扇电机3号,小家电配件,C,54,4.2,0.14,385.7,库存积压,库存可销售天数偏长,中
P0131,插线板1号,小家电配件,C,635,3.6,0.12,5291.7,库存积压,库存可销售天数偏长,中
P0119,炒锅4号,厨具,C,40,3.6,0.12,333.3,库存积压,库存可销售天数偏长,中
P0141,净水器滤芯3号,小家电配件,C,187,3.6,0.12,1558.3,库存积压,库存可销售天数偏长,中
P0117,饭盒3号,厨具,C,666,3.3,0.11,6054.5,库存积压,库存可销售天数偏长,中
P0111,饭盒2号,厨具,C,538,3.3,0.11,4890.9,库存积压,库存可销售天数偏长,中
P0129,净水器滤芯1号,小家电配件,C,517,3.0,0.1,5170.0,库存积压,库存可销售天数偏长,中
P0123,饭盒4号,厨具,C,135,3.0,0.1,1350.0,库存积压,库存可销售天数偏长,中
P0135,净水器滤芯2号,小家电配件,C,974,3.0,0.1,9740.0,库存积压,库存可销售天数偏长,中
P0128,砧板5号,厨具,C,147,3.0,0.1,1470.0,库存积压,库存可销售天数偏长,中
P0133,榨汁机刀头1号,小家电配件,C,210,3.0,0.1,2100.0,库存积压,库存可销售天数偏长,中
P0124,保温壶4号,厨具,C,72,3.0,0.1,720.0,库存积压,库存可销售天数偏长,中
P0120,汤锅4号,厨具,C,1103,3.0,0.1,11030.0,库存积压,库存可销售天数偏长,中
P0121,菜刀4号,厨具,C,343,3.0,0.1,3430.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0130,电饭煲内胆1号,小家电配件,C,1134,3.0,0.1,11340.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0134,电水壶底座1号,小家电配件,C,148,3.0,0.1,1480.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0122,砧板4号,厨具,C,422,3.0,0.1,4220.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0149,插线板4号,小家电配件,C,84,3.0,0.1,840.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0115,菜刀3号,厨具,C,175,3.0,0.1,1750.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0151,榨汁机刀头4号,小家电配件,C,289,3.0,0.1,2890.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0125,炒锅5号,厨具,C,1127,3.0,0.1,11270.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0108,汤锅2号,厨具,C,173,3.0,0.1,1730.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0138,风扇电机2号,小家电配件,C,658,3.0,0.1,6580.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0136,电饭煲内胆2号,小家电配件,C,235,3.0,0.1,2350.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0107,炒锅2号,厨具,C,362,3.0,0.1,3620.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0102,汤锅1号,厨具,C,165,3.0,0.1,1650.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0112,保温壶2号,厨具,C,193,3.0,0.1,1930.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0104,砧板1号,厨具,C,111,3.0,0.1,1110.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0105,饭盒1号,厨具,C,43,3.0,0.1,430.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0127,菜刀5号,厨具,C,77,3.0,0.1,770.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0140,电水壶底座2号,小家电配件,C,232,3.0,0.1,2320.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0147,净水器滤芯4号,小家电配件,C,100,3.0,0.1,1000.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0126,汤锅5号,厨具,C,649,3.0,0.1,6490.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0109,菜刀2号,厨具,C,555,3.0,0.1,5550.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0132,风扇电机1号,小家电配件,C,72,3.0,0.1,720.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0143,插线板3号,小家电配件,C,223,3.0,0.1,2230.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0139,榨汁机刀头2号,小家电配件,C,140,3.0,0.1,1400.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0106,保温壶1号,厨具,C,192,3.0,0.1,1920.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0116,砧板3号,厨具,C,152,3.0,0.1,1520.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0103,菜刀1号,厨具,C,239,3.0,0.1,2390.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0101,炒锅1号,厨具,C,607,3.0,0.1,6070.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0110,砧板2号,厨具,C,126,3.0,0.1,1260.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0150,风扇电机4号,小家电配件,C,685,3.0,0.1,6850.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0152,电水壶底座4号,小家电配件,C,147,3.0,0.1,1470.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0114,汤锅3号,厨具,C,1126,3.0,0.1,11260.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0142,电饭煲内胆3号,小家电配件,C,130,3.0,0.1,1300.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0137,插线板2号,小家电配件,C,145,3.0,0.1,1450.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0118,保温壶3号,厨具,C,953,3.0,0.1,9530.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0113,炒锅3号,厨具,C,900,3.0,0.1,9000.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0146,电水壶底座3号,小家电配件,C,833,3.0,0.1,8330.0,高库存积压,低动销商品库存可销售天数超过150天,高
P0145,榨汁机刀头3号,小家电配件,C,122,3.0,0.1,1220.0,高库存积压,低动销商品库存可销售天数超过150天,高
